LMcMc -> 7/8,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/16,LMnP -> 21/32,LPMn -> 1/2,thetaMcMc -> 551/256,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 1095/512,thetaPMn -> 245/512,UMcMc -> 1,UMcP -> 3,UMcPT -> 15/16,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 5/2
LMcMc -> 7/16,LMcP -> 241/128,LMcPT -> 21/32,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/4,thetaMcPT -> 7/4,thetaMnMc -> 1999/1024,thetaPMn -> 21/16,UMcMc -> 7/8,UMcP -> 1269/512,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 1,UPMn -> 2
LMcMc -> 7/8,LMcP -> 145/64,LMcPT -> 105/128,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/4,thetaMcPT -> 7/4,thetaMnMc -> 1017/512,thetaPMn -> 77/128,UMcMc -> 1,UMcP -> 715/256,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2
LMcMc -> 7/32,LMcP -> 433/256,LMcPT -> 7/16,LMnMc -> 7/8,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 2,thetaMnMc -> 1999/1024,thetaPMn -> 105/128,UMcMc -> 7/8,UMcP -> 1171/512,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 7/8,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 1109/512,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 551/256,thetaPMn -> 77/128,UMcMc -> 1,UMcP -> 3,UMcPT -> 15/16,UMnMc -> 7/8,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 105/128,LPMn -> 1/2,thetaMcMc -> 635/256,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 307/128,thetaPMn -> 203/256,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 1,UMnMc -> 1,UMnP -> 7/8,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 3,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 93/32,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 43/16,thetaPMn -> 21/16,UMcMc -> 2,UMcP -> 4,UMcPT -> 1,UMnMc -> 2,UMnP -> 1,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 145/64,LMcPT -> 105/128,LMnMc -> 7/8,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 1017/512,thetaPMn -> 105/128,UMcMc -> 1,UMcP -> 715/256,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/8,LMcP -> 27/8,LMcPT -> 7/8,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 89/32,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 69/16,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 21/32,LMnMc -> 7/16,LMnP -> 21/32,LPMn -> 1/2,thetaMcMc -> 1291/512,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 2533/1024,thetaPMn -> 245/512,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 7/2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 105/128,LPMn -> 1/2,thetaMcMc -> 635/256,thetaMcP -> 3/2,thetaMcPT -> 2,thetaMnMc -> 307/128,thetaPMn -> 203/256,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 1,UMnMc -> 1,UMnP -> 7/8,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 2,LMcPT -> 105/128,LMnMc -> 7/8,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 565/256,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 1123/512,thetaPMn -> 105/128,UMcMc -> 1,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 7/8,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 3,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/16,LPMn -> 1/4,thetaMcMc -> 43/16,thetaMcP -> 3/4,thetaMcPT -> 7/4,thetaMnMc -> 79/32,thetaPMn -> 105/128,UMcMc -> 2,UMcP -> 4,UMcPT -> 1,UMnMc -> 2,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/8,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/4,thetaMcMc -> 1109/512,thetaMcP -> 3/4,thetaMcPT -> 7/4,thetaMnMc -> 551/256,thetaPMn -> 21/16,UMcMc -> 1,UMcP -> 3,UMcPT -> 15/16,UMnMc -> 2,UMnP -> 1,UPMn -> 2
LMcMc -> 7/8,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 1109/512,thetaMcP -> 3/2,thetaMcPT -> 2,thetaMnMc -> 551/256,thetaPMn -> 21/16,UMcMc -> 1,UMcP -> 3,UMcPT -> 15/16,UMnMc -> 2,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 145/64,LMcPT -> 7/16,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 505/256,thetaPMn -> 77/128,UMcMc -> 2,UMcP -> 361/128,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 3,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 43/16,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 79/32,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 4,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 145/64,LMcPT -> 105/128,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 1017/512,thetaPMn -> 21/16,UMcMc -> 1,UMcP -> 715/256,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 1,UPMn -> 7/2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 635/256,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 307/128,thetaPMn -> 21/16,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 1,UMnMc -> 2,UMnP -> 1,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 297/128,LMcPT -> 7/8,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 1017/512,thetaPMn -> 77/128,UMcMc -> 1,UMcP -> 729/256,UMcPT -> 15/16,UMnMc -> 7/8,UMnP -> 1,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 145/64,LMcPT -> 105/128,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 1017/512,thetaPMn -> 217/256,UMcMc -> 1,UMcP -> 715/256,UMcPT -> 7/8,UMnMc -> 1,UMnP -> 15/16,UPMn -> 5/2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/32,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 307/128,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 593/256,thetaPMn -> 147/512,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 7/2
LMcMc -> 7/16,LMcP -> 241/128,LMcPT -> 21/32,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 1999/1024,thetaPMn -> 77/128,UMcMc -> 7/8,UMcP -> 1269/512,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 2,LMcPT -> 105/128,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 1137/512,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 565/256,thetaPMn -> 21/16,UMcMc -> 1,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/32,LMcP -> 2,LMcPT -> 7/16,LMnMc -> 7/16,LMnP -> 21/32,LPMn -> 1/2,thetaMcMc -> 2827/1024,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 1389/512,thetaPMn -> 245/512,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/8,LMcP -> 145/64,LMcPT -> 7/16,LMnMc -> 7/32,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc -> 505/256,thetaPMn -> 147/512,UMcMc -> 2,UMcP -> 361/128,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 307/128,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 593/256,thetaPMn -> 77/128,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 297/128,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 1017/512,thetaPMn -> 105/128,UMcMc -> 1,UMcP -> 729/256,UMcPT -> 15/16,UMnMc -> 2,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/32,LMcP -> 2,LMcPT -> 7/16,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2827/1024,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 1389/512,thetaPMn -> 77/128,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/32,LMcP -> 433/256,LMcPT -> 7/16,LMnMc -> 7/8,LMnP -> 105/128,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 2,thetaMnMc -> 1999/1024,thetaPMn -> 203/256,UMcMc -> 7/8,UMcP -> 1171/512,UMcPT -> 7/8,UMnMc -> 1,UMnP -> 7/8,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/32,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 551/256,thetaMcP -> 3/4,thetaMcPT -> 7/4,thetaMnMc -> 1095/512,thetaPMn -> 147/512,UMcMc -> 1,UMcP -> 3,UMcPT -> 15/16,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/4,thetaMcMc -> 635/256,thetaMcP -> 5/4,thetaMcPT -> 7/4,thetaMnMc -> 307/128,thetaPMn -> 77/128,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2
LMcMc -> 7/16,LMcP -> 31/16,LMcPT -> 7/8,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 491/256,thetaPMn -> 77/128,UMcMc -> 7/8,UMcP -> 333/128,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 105/128,LPMn -> 1/2,thetaMcMc -> 635/256,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 307/128,thetaPMn -> 203/256,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 1,UMnMc -> 1,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/8,LMcP -> 3,LMcPT -> 7/16,LMnMc -> 7/16,LMnP -> 21/32,LPMn -> 1/2,thetaMcMc -> 821/256,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 407/128,thetaPMn -> 245/512,UMcMc -> 2,UMcP -> 4,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/8,LMcP -> 2,LMcPT -> 105/128,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 1137/512,thetaMcP -> 3/2,thetaMcPT -> 2,thetaMnMc -> 565/256,thetaPMn -> 77/128,UMcMc -> 1,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 3,LMcPT -> 7/16,LMnMc -> 7/16,LMnP -> 21/32,LPMn -> 1/2,thetaMcMc -> 821/256,thetaMcP -> 3/2,thetaMcPT -> 7/4,thetaMnMc -> 407/128,thetaPMn -> 245/512,UMcMc -> 2,UMcP -> 4,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/8,LMcP -> 145/64,LMcPT -> 105/128,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 1017/512,thetaPMn -> 77/128,UMcMc -> 1,UMcP -> 715/256,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 27/8,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 3,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 89/32,thetaPMn -> 217/256,UMcMc -> 2,UMcP -> 69/16,UMcPT -> 1,UMnMc -> 1,UMnP -> 15/16,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 3,LMcPT -> 7/8,LMnMc -> 7/32,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 43/16,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 79/32,thetaPMn -> 147/512,UMcMc -> 2,UMcP -> 4,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 5/2
LMcMc -> 7/16,LMcP -> 31/16,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 105/128,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 491/256,thetaPMn -> 203/256,UMcMc -> 7/8,UMcP -> 333/128,UMcPT -> 1,UMnMc -> 1,UMnP -> 7/8,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 3,LMcPT -> 7/8,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 93/32,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 43/16,thetaPMn -> 21/16,UMcMc -> 2,UMcP -> 4,UMcPT -> 1,UMnMc -> 2,UMnP -> 1,UPMn -> 2
LMcMc -> 7/32,LMcP -> 2,LMcPT -> 7/16,LMnMc -> 7/16,LMnP -> 21/32,LPMn -> 1/2,thetaMcMc -> 2827/1024,thetaMcP -> 3/2,thetaMcPT -> 2,thetaMnMc -> 1389/512,thetaPMn -> 245/512,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 5/2
LMcMc -> 7/32,LMcP -> 2,LMcPT -> 7/16,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2827/1024,thetaMcP -> 3/2,thetaMcPT -> 2,thetaMnMc -> 1389/512,thetaPMn -> 21/16,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/16,LMcP -> 2,LMcPT -> 7/8,LMnMc -> 7/16,LMnP -> 21/32,LPMn -> 1/2,thetaMcMc -> 307/128,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 593/256,thetaPMn -> 245/512,UMcMc -> 7/8,UMcP -> 3,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 2
LMcMc -> 7/8,LMcP -> 3,LMcPT -> 7/16,LMnMc -> 7/16,LMnP -> 21/32,LPMn -> 1/2,thetaMcMc -> 821/256,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 407/128,thetaPMn -> 245/512,UMcMc -> 2,UMcP -> 4,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 7/2
LMcMc -> 7/8,LMcP -> 145/64,LMcPT -> 105/128,LMnMc -> 7/8,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 5/2,thetaMnMc -> 1017/512,thetaPMn -> 105/128,UMcMc -> 1,UMcP -> 715/256,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 7/8,UPMn -> 7/2
LMcMc -> 7/16,LMcP -> 31/16,LMcPT -> 7/8,LMnMc -> 7/32,LMnP -> 7/16,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 491/256,thetaPMn -> 147/512,UMcMc -> 7/8,UMcP -> 333/128,UMcPT -> 1,UMnMc -> 7/8,UMnP -> 7/8,UPMn -> 5/2
LMcMc -> 7/16,LMcP -> 241/128,LMcPT -> 21/32,LMnMc -> 7/8,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 2,thetaMcP -> 3/2,thetaMcPT -> 2,thetaMnMc -> 1999/1024,thetaPMn -> 21/16,UMcMc -> 7/8,UMcP -> 1269/512,UMcPT -> 7/8,UMnMc -> 2,UMnP -> 1,UPMn -> 5/2
LMcMc -> 7/8,LMcP -> 2,LMcPT -> 105/128,LMnMc -> 7/16,LMnP -> 7/8,LPMn -> 1/2,thetaMcMc -> 1137/512,thetaMcP -> 1,thetaMcPT -> 3/2,thetaMnMc -> 565/256,thetaPMn -> 77/128,UMcMc -> 1,UMcP -> 3,UMcPT -> 7/8,UMnMc -> 7/8,UMnP -> 1,UPMn -> 2